trees,processes,time,SpeedUp,Efficiency
3,1,0.006999999999999999,,
3,2,0.011000000000000001,0.6363636363636362,0.3181818181818181
3,4,0.018000000000000002,0.3888888888888888,0.0972222222222222
3,8,1.036,0.006756756756756756,0.0008445945945945945
3,16,1.037,0.006750241080038573,0.0004218900675024108
3,32,1.044,0.006704980842911877,0.00020953065134099615
6,1,0.008,,
6,2,0.013000000000000001,0.6153846153846153,0.30769230769230765
6,4,0.021,0.38095238095238093,0.09523809523809523
6,8,1.035,0.007729468599033817,0.0009661835748792271
6,16,1.038,0.007707129094412331,0.0004816955684007707
6,32,1.047,0.0076408787010506215,0.00023877745940783192
15,1,0.032,,
15,2,0.03,1.0666666666666667,0.5333333333333333
15,4,0.025,1.28,0.32
15,8,1.035,0.03091787439613527,0.0038647342995169085
15,16,1.038,0.030828516377649325,0.0019267822736030828
15,32,1.045,0.030622009569377995,0.0009569377990430623
20,1,1.005,,
20,2,0.525,1.914285714285714,0.957142857142857
20,4,0.276,3.6413043478260865,0.9103260869565216
20,8,1.034,0.9719535783365569,0.12149419729206962
20,16,1.038,0.968208092485549,0.06051300578034681
20,32,1.045,0.9617224880382774,0.03005382775119617
25,1,36.958,,
25,2,19.615,1.8841702778485854,0.9420851389242927
25,4,10.171,3.633664339789598,0.9084160849473994
25,8,6.039,6.119887398575923,0.7649859248219903
25,16,3.04,12.157236842105263,0.7598273026315789
25,32,2.046,18.063538611925708,0.5644855816226784
27,1,152.838,,
27,2,79.077,1.9327743844607155,0.9663871922303577
27,4,40.119,3.8096163912360725,0.9524040978090181
27,8,21.057,7.258298902977632,0.907287362872204
27,16,11.047,13.83524938897438,0.8647030868108988
27,32,6.051,25.2583044124938,0.7893220128904312
